episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
175,108.38780439798519,172.95100887172714,0.05000000000000001,0.09708924715717633,0.4166666666666667,0,1,0,11,0
176,132.2398894376122,174.16126429769744,0.05000000000000001,0.10931277275085449,0.5,0,1,0,5,6
177,177.075089671856,177.2826365311708,0.05000000000000001,0.11573998630046844,0.4166666666666667,0,0,0,12,0
178,166.0546326949379,175.40794470756063,0.05000000000000001,0.09578810989235838,0.5833333333333334,0,0,0,0,12
179,307.8485242808393,177.92679823838756,0.05000000000000001,0.11708219287296136,0.6666666666666666,0,0,0,0,12
180,148.94619524288714,179.02993883306308,0.05000000000000001,0.09959383464107911,0.5,0,0,0,3,9
181,187.0010258161691,180.50885722051189,0.05000000000000001,0.1174287370716532,0.5833333333333334,0,0,0,10,2
182,247.5150244738587,183.2647370140246,0.05000000000000001,0.08567215502262115,0.5,0,4,4,4,0
183,325.2861774368187,187.0113810718493,0.05000000000000001,0.10671944543719292,0.75,0,0,10,2,0
184,46.007046737155505,184.0970330625006,0.05000000000000001,0.12383268276850383,0.16666666666666666,1,0,0,11,0
185,295.5458072400724,185.61676555531076,0.05000000000000001,0.10064976165692012,0.75,0,0,4,8,0
186,187.95177723837082,189.37580110007823,0.05000000000000001,0.09566434038182099,0.6666666666666666,0,0,1,5,6
187,238.10920757714615,192.2341626745664,0.05000000000000001,0.11687474837526679,0.75,0,0,2,10,0
188,78.00706682241315,189.79993120104686,0.05000000000000001,0.11466206144541502,0.25,7,0,5,0,0
189,328.01190761448754,194.18044204256276,0.05000000000000001,0.0803449039037029,0.9166666666666666,0,0,0,12,0
190,153.2200494289175,193.39342935259808,0.05000000000000001,0.10729192631940047,0.4166666666666667,5,0,6,1,0
191,249.80455503126967,195.35326093182854,0.05000000000000001,0.10658446823557217,0.5833333333333334,2,9,0,1,0
192,176.07732798154836,198.17395703276594,0.05000000000000001,0.09677292732521892,0.6666666666666666,0,0,0,11,1
193,235.62935298179144,199.9380404236176,0.05000000000000001,0.1013834939027826,0.5833333333333334,0,0,5,6,1
194,274.6286804973011,202.0413351619209,0.05000000000000001,0.11360576779892047,0.6666666666666666,0,0,12,0,0
195,225.30172335727895,205.63811928270442,0.05000000000000001,0.1003139391541481,0.4166666666666667,0,4,0,7,1
196,216.18701840028322,209.96185965071015,0.05000000000000001,0.11256899250050385,0.4166666666666667,0,2,0,0,10
197,148.58098304186635,209.1656329743688,0.05000000000000001,0.10815712250769138,0.4166666666666667,11,0,0,0,1
198,399.591137567388,212.97803862758064,0.05000000000000001,0.11159474899371465,0.9166666666666666,3,0,0,9,0
